Quant Method,Filename,comp_method,soil_type,rs,treatment,env_rep,tech_rep,Sample Type,Area,Height,cali conc,calc conc,RT,SN
MUBph_315nm,SH_mc_H2O_3_2,SH,mc,MUBph,SH_mc,C,2,Sample,3866851.4,193024.5362,NA,0.383386712,5.26,225.9063
MUBph_315nm,SH_mc_H2O_3_3,SH,mc,MUBph,SH_mc,C,3,Sample,3331872.692,119163.8785,NA,0.330345179,4.7,74.89700087
MUBph_315nm,SH_rc_H2O_1_1,SH,rc,MUBph,SH_rc,A,1,Sample,2669963.6,168433.6321,NA,0.264718879,4.786666667,3151.343878
MUBph_315nm,SH_rc_H2O_1_2,SH,rc,MUBph,SH_rc,A,2,Sample,1902567.938,128311.8873,NA,0.188633902,5.213333333,179.4494529
MUBph_315nm,SH_rc_H2O_1_3,SH,rc,MUBph,SH_rc,A,3,Sample,1679026.121,72678.13846,NA,0.166470401,4.513333333,42.39582783
MUBph_315nm,SH_rc_H2O_2_1,SH,rc,MUBph,SH_rc,B,1,Sample,2474195.196,135813.7228,NA,0.245309029,4.683333333,1375.486334
MUBph_315nm,SH_rc_H2O_2_2,SH,rc,MUBph,SH_rc,B,2,Sample,2030715.397,130603.2837,NA,0.201339338,5.033333333,972.403119
MUBph_315nm,SH_rc_H2O_2_3,SH,rc,MUBph,SH_rc,B,3,Sample,1080538.479,44529.90284,NA,0.107132148,4.593333333,17.5410178
MUBph_315nm,SH_rc_H2O_3_1,SH,rc,MUBph,SH_rc,C,1,Sample,2767805.956,154098.8875,NA,0.274419655,4.84,2848.291054
MUBph_315nm,SH_rc_H2O_3_2,SH,rc,MUBph,SH_rc,C,2,Sample,2493357.726,162089.2223,NA,0.247208936,5.05,2103.672875
MUBph_315nm,SH_rc_H2O_3_3,SH,rc,MUBph,SH_rc,C,3,Sample,1935335.659,69742.79536,NA,0.191882723,4.473333333,54.67761743
MUBph_315nm,SO_fo_H2O_1_1,SO,fo,MUBph,SO_fo,A,1,Sample,2073330.1,170328.9433,NA,0.205564458,4.793333333,670.4111834
MUBph_315nm,SO_fo_H2O_1_2,SO,fo,MUBph,SO_fo,A,2,Sample,1445888.2,100825.6457,NA,0.143355476,5.256666667,1655.857348
MUBph_315nm,SO_fo_H2O_1_3,SO,fo,MUBph,SO_fo,A,3,Sample,1103324.426,63561.92715,NA,0.109391306,4.69,83.5194237
MUBph_315nm,SO_fo_H2O_2_1,SO,fo,MUBph,SO_fo,B,1,Sample,2113564.2,174941.6526,NA,0.209553548,4.94,1918.609111
MUBph_315nm,SO_fo_H2O_2_2,SO,fo,MUBph,SO_fo,B,2,Sample,1843068.554,144950.2891,NA,0.182734716,5.1,2216.531671
MUBph_315nm,SO_fo_H2O_2_3,SO,fo,MUBph,SO_fo,B,3,Sample,1091290.2,60287.83731,NA,0.108198149,4.706666667,70.72769246
MUBph_315nm,SO_fo_H2O_3_1,SO,fo,MUBph,SO_fo,C,1,Sample,2095758.525,151045.8083,NA,0.207788169,4.796666667,501.8930879
MUBph_315nm,SO_fo_H2O_3_2,SO,fo,MUBph,SO_fo,C,2,Sample,1904472.2,143730.8824,NA,0.188822704,5.046666667,1773.948337
